ComponentId,Amount,Unit,UsedByClass,UsedById,UsesClass,UsesId,CreateTS,ModifiedTS,ClassName,RecordId
e0b9f2cf-3b57-4ba0-ac89-52a1d2e7ba7d,1,ea,wt.part.WTPart,97837,wt.part.WTPartMaster,96810,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127799
b87bd87c-feb5-48dc-9add-7745297c5afd,1,ea,wt.part.WTPart,97701,wt.part.WTPartMaster,97005,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127800
be48f25b-91f2-4e4c-a045-aba7a26717c5,1,ea,wt.part.WTPart,97717,wt.part.WTPartMaster,96961,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127801
2acc56b6-9445-4405-95fe-51208c3d7267,1,ea,wt.part.WTPart,97695,wt.part.WTPartMaster,96839,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127802
a18488fe-1666-40ea-b21a-b7aef558d8f8,1,ea,wt.part.WTPart,97826,wt.part.WTPartMaster,96979,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127803
1e660d3c-2ce8-4834-a54d-e3db7bcc3bcb,1,ea,wt.part.WTPart,97826,wt.part.WTPartMaster,96767,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127804
a1adaea3-df31-437e-9d08-0c8f8c57e68c,3,ea,wt.part.WTPart,97726,wt.part.WTPartMaster,96878,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127805
78f8202d-36b9-4661-9349-85af009b9d3e,1,ea,wt.part.WTPart,97705,wt.part.WTPartMaster,97024,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127806
e0186ddf-f77d-4032-9c05-4e62042a6b52,1,ea,wt.part.WTPart,97658,wt.part.WTPartMaster,96789,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127807
b26e7416-0966-421e-aa29-a2b51713b5d3,1,ea,wt.part.WTPart,97606,wt.part.WTPartMaster,96982,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127808
0e92e0c5-9df7-4d34-9d38-fa67131073b1,2,ea,wt.part.WTPart,97632,wt.part.WTPartMaster,96962,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127809
c32b4b03-854b-455f-b423-3b2794dc1504,1,ea,wt.part.WTPart,97830,wt.part.WTPartMaster,96977,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127810
929932d8-3ffb-452f-b704-06c1551c8f15,1,ea,wt.part.WTPart,97837,wt.part.WTPartMaster,97030,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127811
77547d6d-8a98-4d18-b5a1-262710c1a052,1,ea,wt.part.WTPart,97741,wt.part.WTPartMaster,96775,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127812
163683e4-f2c8-453f-8997-166156a36f31,1,ea,wt.part.WTPart,97752,wt.part.WTPartMaster,97010,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127813
9c64da2a-cc19-4009-946e-6a39b94f557c,2,ea,wt.part.WTPart,97823,wt.part.WTPartMaster,96960,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127814
